Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
Bronze,28.0,184.0,85.0
Bronze,28.0,175.0,64.0
Gold,28.0,175.0,64.0
Gold,28.0,175.0,64.0
Gold,28.0,175.0,64.0
Bronze,32.0,175.0,64.0
Gold,20.0,176.0,85.0
Bronze,20.0,176.0,85.0
Silver,22.0,176.0,85.0
Bronze,22.0,176.0,85.0
Gold,30.0,176.0,85.0
Gold,30.0,176.0,85.0
Gold,34.0,176.0,85.0
Silver,26.0,189.0,72.0
Bronze,23.0,182.0,64.0
Bronze,21.0,198.0,90.0
Bronze,30.0,194.0,87.0
Bronze,21.0,165.0,49.0
Silver,22.0,179.0,80.0
Gold,28.0,180.0,83.0
Gold,23.0,182.0,86.0
Gold,27.0,182.0,86.0
Silver,31.0,182.0,86.0
Gold,22.0,185.0,82.0
Gold,22.0,186.0,83.0
Silver,26.0,165.0,55.0
Gold,28.0,181.0,82.0
Bronze,26.0,182.0,67.0
Silver,21.0,163.0,60.0
Gold,38.0,190.0,85.0
Silver,30.0,181.0,79.0
Gold,22.0,188.0,96.0
Gold,29.0,188.0,96.0
Gold,34.0,188.0,96.0
Gold,22.0,182.0,90.0
Gold,26.0,182.0,90.0
Silver,30.0,182.0,90.0
Gold,25.0,187.0,97.0
Gold,29.0,187.0,97.0
Silver,33.0,187.0,97.0
Bronze,21.0,184.0,87.0
Bronze,28.0,175.0,70.0
Silver,23.0,191.0,88.0
Silver,20.0,175.0,56.0
Bronze,26.0,170.0,80.0
Bronze,21.0,173.0,59.0
Gold,38.0,169.0,91.0
Silver,23.0,181.0,72.0
Gold,26.0,160.0,62.0
Gold,26.0,169.0,63.0
Silver,25.0,167.0,55.0
Gold,29.0,167.0,55.0
Gold,23.0,202.0,104.0
Silver,30.0,170.0,84.0
Gold,26.0,190.0,125.0
Bronze,21.0,160.0,50.0
Silver,23.0,185.0,102.0
Silver,19.0,160.0,48.0
Bronze,20.0,160.0,62.0
Gold,22.0,166.0,58.0
Bronze,19.0,181.0,78.0
Silver,19.0,181.0,78.0
Gold,22.0,182.0,84.0
Silver,25.0,159.0,40.0
Gold,29.0,172.0,82.0
Gold,19.0,182.0,68.0
Bronze,19.0,161.0,62.0
Silver,19.0,161.0,62.0
Silver,24.0,161.0,62.0
Bronze,24.0,161.0,62.0
Silver,22.0,190.0,78.0
Bronze,22.0,190.0,78.0
Bronze,30.0,197.0,92.0
Silver,21.0,188.0,87.0
Bronze,21.0,192.0,88.0
Gold,21.0,192.0,88.0
Silver,25.0,192.0,88.0
Bronze,21.0,175.0,64.0
Silver,29.0,191.0,84.0
Gold,24.0,183.0,75.0
Silver,24.0,183.0,75.0
Bronze,22.0,172.0,61.0
Bronze,25.0,198.0,89.0
Silver,24.0,171.0,60.0
Bronze,23.0,167.0,65.0
Bronze,23.0,198.0,93.0
Bronze,28.0,188.0,77.0
Gold,22.0,168.0,68.0
Gold,23.0,180.0,68.0
Gold,27.0,180.0,68.0
Gold,20.0,178.0,68.0
Bronze,26.0,148.0,46.0
Bronze,25.0,189.0,81.0
Gold,20.0,170.0,62.0
Bronze,16.0,150.0,40.0
Gold,24.0,194.0,104.0
Bronze,20.0,176.0,82.0
Bronze,21.0,176.0,67.0
Silver,19.0,158.0,52.0
Bronze,18.0,181.0,73.0
Silver,24.0,176.0,75.0
Bronze,29.0,165.0,54.0
Bronze,27.0,174.0,57.0
Bronze,30.0,168.0,63.0
Bronze,27.0,172.0,72.0
Silver,31.0,172.0,72.0
Gold,27.0,179.0,68.0
Silver,24.0,184.0,69.0
Silver,24.0,184.0,69.0
Silver,28.0,184.0,69.0
Gold,26.0,190.0,99.0
Bronze,26.0,190.0,99.0
Gold,28.0,190.0,99.0
Silver,28.0,190.0,99.0
Silver,24.0,200.0,104.0
Gold,20.0,168.0,72.0
Bronze,23.0,188.0,91.0
Bronze,23.0,162.0,60.0
Silver,25.0,187.0,83.0
Gold,24.0,175.0,95.0
Silver,22.0,179.0,78.0
Silver,22.0,188.0,78.0
Bronze,22.0,188.0,78.0
Silver,21.0,178.0,78.0
Silver,25.0,178.0,78.0
Gold,29.0,164.0,51.0
Gold,33.0,164.0,51.0
Gold,27.0,188.0,78.0
Silver,27.0,188.0,78.0
Bronze,26.0,188.0,81.0
Bronze,24.0,164.0,69.0
Gold,23.0,193.0,120.0
Gold,27.0,193.0,120.0
Silver,31.0,193.0,120.0
Gold,29.0,189.0,87.0
Silver,23.0,171.0,58.0
Bronze,17.0,180.0,79.0
Silver,22.0,181.0,82.0
Silver,19.0,190.0,80.0
Silver,24.0,179.0,74.0
Silver,28.0,179.0,74.0
Silver,22.0,186.0,78.0
Gold,25.0,187.0,65.0
Bronze,23.0,180.0,70.0
Gold,26.0,180.0,70.0
Silver,27.0,190.0,110.0
Gold,26.0,188.0,80.0
Silver,26.0,180.0,72.0
Silver,23.0,172.0,62.0
Gold,19.0,179.0,70.0
Bronze,23.0,179.0,70.0
Bronze,23.0,179.0,70.0
Bronze,26.0,202.0,100.0
Gold,19.0,198.0,100.0
Gold,23.0,198.0,100.0
Silver,23.0,198.0,100.0
Gold,23.0,198.0,100.0
Bronze,27.0,198.0,100.0
Bronze,27.0,198.0,100.0
Gold,27.0,198.0,100.0
Gold,27.0,198.0,100.0
Silver,25.0,180.0,61.0
Bronze,29.0,180.0,61.0
Bronze,21.0,170.0,65.0
Silver,30.0,189.0,87.0
Silver,24.0,189.0,82.0
Silver,20.0,158.0,48.0
Bronze,22.0,183.0,88.0
Silver,20.0,180.0,62.0
Bronze,22.0,178.0,70.0
Bronze,28.0,175.0,75.0
Silver,25.0,173.0,76.0
Bronze,27.0,193.0,104.0
Gold,16.0,148.0,40.0
Bronze,16.0,148.0,40.0
Bronze,24.0,187.0,93.0
Silver,27.0,187.0,93.0
Gold,26.0,180.0,80.0
Silver,23.0,164.0,66.0
Bronze,20.0,184.0,80.0
Silver,24.0,184.0,80.0
Bronze,28.0,184.0,80.0
Gold,29.0,172.0,58.0
Gold,33.0,172.0,58.0
Gold,20.0,202.0,90.0
Gold,20.0,202.0,90.0
Silver,20.0,202.0,90.0
Gold,18.0,168.0,67.0
Gold,23.0,168.0,67.0
Gold,26.0,168.0,67.0
Silver,24.0,178.0,75.0
Gold,27.0,164.0,62.0
Gold,20.0,172.0,74.0
Gold,23.0,175.0,70.0
Bronze,20.0,173.0,64.0
Bronze,27.0,170.0,67.0
Silver,23.0,167.0,50.0
Bronze,26.0,172.0,64.0
Silver,21.0,147.0,47.0
Silver,32.0,172.0,67.0
Silver,23.0,175.0,73.0
Gold,22.0,170.0,57.0
Bronze,21.0,168.0,69.5
Bronze,32.0,179.0,78.0
Bronze,27.0,177.0,75.0
Bronze,24.0,182.0,90.0
Bronze,29.0,189.0,80.0
Bronze,41.0,189.0,80.0
Gold,29.0,179.0,72.0
Gold,23.0,176.0,64.0
Bronze,34.0,190.0,88.0
Gold,22.0,172.0,52.0
Silver,22.0,172.0,52.0
Gold,22.0,172.0,52.0
Gold,21.0,162.0,62.0
Gold,25.0,171.0,67.0
Gold,21.0,170.0,62.0
Bronze,24.0,169.0,75.0
Gold,28.0,170.0,70.0
Gold,27.0,173.0,61.0
Gold,27.0,150.0,70.0
Silver,30.0,150.0,70.0
Bronze,23.0,175.0,61.0
Silver,24.0,184.0,66.0
Silver,28.0,184.0,66.0
Silver,30.0,169.0,66.0
Gold,23.0,178.0,85.0
Gold,28.0,195.0,97.0
Silver,23.0,176.0,70.0
Silver,16.0,163.0,50.0
Silver,26.0,192.0,102.0
Bronze,30.0,192.0,102.0
Silver,26.0,165.0,60.0
Bronze,30.0,165.0,60.0
Bronze,34.0,165.0,60.0
Silver,27.0,172.0,74.0
Bronze,23.0,183.0,75.0
Silver,21.0,154.0,53.0
Gold,25.0,154.0,53.0
Gold,25.0,154.0,53.0
Bronze,21.0,156.0,55.0
Bronze,28.0,183.0,85.0
Silver,19.0,183.0,90.0
Gold,23.0,183.0,90.0
Gold,27.0,183.0,90.0
Gold,31.0,183.0,90.0
Gold,35.0,183.0,90.0
Gold,22.0,187.0,84.0
Bronze,34.0,185.0,85.0
Silver,21.0,173.0,65.0
Bronze,25.0,173.0,65.0
Gold,29.0,173.0,65.0
Gold,35.0,177.0,88.0
Bronze,17.0,167.0,45.0
Bronze,20.0,172.0,79.0
Gold,27.0,175.0,93.0
Gold,31.0,175.0,93.0
Silver,35.0,175.0,93.0
Silver,23.0,185.0,75.0
Bronze,20.0,180.0,62.0
Gold,24.0,164.0,57.0
Silver,25.0,185.0,81.0
Bronze,33.0,185.0,81.0
Bronze,33.0,185.0,81.0
Silver,19.0,172.0,74.0
Bronze,27.0,172.0,74.0
Bronze,24.0,169.0,64.0
Silver,23.0,168.0,62.0
Gold,30.0,178.0,68.0
Gold,25.0,192.0,125.0
Gold,18.0,181.0,80.0
Silver,21.0,160.0,55.0
Bronze,25.0,160.0,55.0
Bronze,29.0,160.0,55.0
Gold,29.0,160.0,55.0
Bronze,21.0,165.0,56.0
Gold,28.0,187.0,79.0
Silver,21.0,190.0,120.0
Silver,34.0,184.0,87.0
Bronze,23.0,160.0,52.0
Bronze,26.0,180.0,79.0
Gold,25.0,172.0,61.0
Gold,23.0,173.0,65.0
Gold,22.0,188.0,77.0
Gold,24.0,181.0,84.0
Gold,27.0,184.0,80.0
Gold,22.0,163.0,61.0
Silver,24.0,191.0,79.0
Bronze,28.0,191.0,79.0
Silver,19.0,178.0,105.0
Bronze,23.0,178.0,105.0
Bronze,25.0,165.0,57.0
Bronze,30.0,187.0,80.0
Bronze,26.0,183.0,74.0
Bronze,29.0,165.0,58.0
Bronze,21.0,173.0,67.0
Gold,25.0,173.0,67.0
Bronze,26.0,201.0,100.0
Bronze,17.0,174.0,62.0
Silver,23.0,192.0,88.0
Bronze,22.0,187.0,81.0
Bronze,41.0,178.0,82.0
Bronze,33.0,178.0,95.0
Bronze,45.0,178.0,95.0
Gold,49.0,178.0,95.0
Bronze,40.0,162.0,70.0
Bronze,31.0,175.0,57.0
Gold,25.0,170.0,63.0
Gold,40.0,175.0,67.0
Bronze,52.0,183.0,83.0
Bronze,27.0,178.0,69.0
Silver,23.0,191.0,72.0
Gold,26.0,164.0,55.0
Silver,33.0,176.0,74.0
Silver,23.0,154.0,52.0
Silver,26.0,172.0,73.0
Gold,30.0,172.0,73.0
Silver,25.0,190.0,81.0
Bronze,22.0,182.0,85.0
Gold,30.0,174.0,67.0
Bronze,25.0,179.0,80.0
Silver,31.0,187.0,84.0
Bronze,33.0,187.0,84.0
Gold,33.0,187.0,84.0
Silver,37.0,187.0,84.0
Bronze,24.0,192.0,156.0
Silver,23.0,182.0,75.0
Bronze,20.0,184.0,75.0
Silver,29.0,192.0,82.0
Bronze,18.0,182.0,75.0
Bronze,29.0,179.0,90.0
Bronze,26.0,177.0,67.0
Bronze,20.0,180.0,83.0
Gold,19.0,165.0,66.0
Bronze,17.0,165.0,57.0
Bronze,31.0,175.0,64.0
Gold,39.0,181.0,67.0
Silver,23.0,191.0,79.0
Bronze,24.0,181.0,87.0
Bronze,30.0,183.0,76.0
Silver,20.0,183.0,63.0
Gold,24.0,183.0,63.0
Gold,22.0,177.0,75.0
Bronze,17.0,170.0,59.0
Silver,23.0,184.0,75.0
Silver,27.0,171.0,71.0
Gold,26.0,171.0,58.0
Silver,30.0,171.0,58.0
Gold,28.0,200.0,130.0
Gold,32.0,200.0,130.0
Bronze,36.0,200.0,130.0
Gold,20.0,168.0,69.0
Silver,20.0,176.0,89.0
Bronze,22.0,180.0,81.0
Gold,26.0,180.0,81.0
Gold,30.0,180.0,81.0
Bronze,26.0,178.0,89.0
Silver,19.0,180.0,83.0
Gold,23.0,180.0,83.0
Bronze,20.0,190.0,98.0
Gold,24.0,190.0,98.0
Gold,30.0,185.0,160.0
