Sex,NOC,Games,Sport,Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
M,FIN,2014 Winter,Ice Hockey,Bronze,28.0,184.0,85.0
M,FIN,1948 Summer,Gymnastics,Bronze,28.0,175.0,64.0
M,FIN,1948 Summer,Gymnastics,Gold,28.0,175.0,64.0
M,FIN,1948 Summer,Gymnastics,Gold,28.0,175.0,64.0
M,FIN,1948 Summer,Gymnastics,Gold,28.0,175.0,64.0
M,FIN,1952 Summer,Gymnastics,Bronze,32.0,175.0,64.0
M,NOR,1992 Winter,Alpine Skiing,Gold,20.0,176.0,85.0
M,NOR,1992 Winter,Alpine Skiing,Bronze,20.0,176.0,85.0
M,NOR,1994 Winter,Alpine Skiing,Silver,22.0,176.0,85.0
M,NOR,1994 Winter,Alpine Skiing,Bronze,22.0,176.0,85.0
M,NOR,2002 Winter,Alpine Skiing,Gold,30.0,176.0,85.0
M,NOR,2002 Winter,Alpine Skiing,Gold,30.0,176.0,85.0
M,NOR,2006 Winter,Alpine Skiing,Gold,34.0,176.0,85.0
M,NED,1996 Summer,Rowing,Silver,26.0,189.0,72.0
F,NOR,1996 Summer,Football,Bronze,23.0,182.0,64.0
M,ITA,2016 Summer,Rowing,Bronze,21.0,198.0,90.0
M,ESP,2008 Summer,Fencing,Bronze,30.0,194.0,87.0
F,AZE,2016 Summer,Taekwondo,Bronze,21.0,165.0,49.0
F,RUS,2008 Summer,Athletics,Silver,22.0,179.0,80.0
M,BLR,2008 Summer,Canoeing,Gold,28.0,180.0,83.0
M,FRA,2008 Summer,Handball,Gold,23.0,182.0,86.0
M,FRA,2012 Summer,Handball,Gold,27.0,182.0,86.0
M,FRA,2016 Summer,Handball,Silver,31.0,182.0,86.0
M,CMR,2000 Summer,Football,Gold,22.0,185.0,82.0
M,ESP,1996 Summer,Water Polo,Gold,22.0,186.0,83.0
M,USA,2004 Summer,Wrestling,Silver,26.0,165.0,55.0
M,ESP,1980 Summer,Sailing,Gold,28.0,181.0,82.0
M,ESP,1984 Summer,Athletics,Bronze,26.0,182.0,67.0
F,RUS,2004 Summer,Cycling,Silver,21.0,163.0,60.0
M,FRA,2008 Summer,Handball,Gold,38.0,190.0,85.0
M,HUN,1992 Summer,Fencing,Silver,30.0,181.0,79.0
M,ITA,1988 Summer,Rowing,Gold,22.0,188.0,96.0
M,ITA,1996 Summer,Rowing,Gold,29.0,188.0,96.0
M,ITA,2000 Summer,Rowing,Gold,34.0,188.0,96.0
M,ITA,1984 Summer,Rowing,Gold,22.0,182.0,90.0
M,ITA,1988 Summer,Rowing,Gold,26.0,182.0,90.0
M,ITA,1992 Summer,Rowing,Silver,30.0,182.0,90.0
M,ITA,1984 Summer,Rowing,Gold,25.0,187.0,97.0
M,ITA,1988 Summer,Rowing,Gold,29.0,187.0,97.0
M,ITA,1992 Summer,Rowing,Silver,33.0,187.0,97.0
M,AUS,2008 Summer,Hockey,Bronze,21.0,184.0,87.0
M,USA,2014 Winter,Figure Skating,Bronze,28.0,175.0,70.0
F,USA,2008 Summer,Softball,Silver,23.0,191.0,88.0
F,USA,2004 Summer,Taekwondo,Silver,20.0,175.0,56.0
M,IRI,2016 Summer,Wrestling,Bronze,26.0,170.0,80.0
F,CAN,1984 Summer,Swimming,Bronze,21.0,173.0,59.0
M,PAK,1960 Summer,Hockey,Gold,38.0,169.0,91.0
M,PAK,1964 Summer,Hockey,Silver,23.0,181.0,72.0
M,URS,1972 Summer,Wrestling,Gold,26.0,160.0,62.0
M,UZB,2000 Summer,Boxing,Gold,26.0,169.0,63.0
M,AZE,1996 Summer,Wrestling,Silver,25.0,167.0,55.0
M,AZE,2000 Summer,Wrestling,Gold,29.0,167.0,55.0
M,USA,2000 Summer,Basketball,Gold,23.0,202.0,104.0
M,TJK,2008 Summer,Wrestling,Silver,30.0,170.0,84.0
M,EUN,1992 Summer,Athletics,Gold,26.0,190.0,125.0
M,JPN,1994 Winter,Nordic Combined,Gold,28.0,175.0,64.0
M,ETH,1992 Summer,Athletics,Bronze,21.0,160.0,50.0
M,USA,1924 Winter,Ice Hockey,Silver,23.0,185.0,102.0
F,GDR,1972 Summer,Gymnastics,Silver,19.0,160.0,48.0
F,CAN,2012 Summer,Diving,Bronze,20.0,160.0,62.0
M,ETH,2000 Summer,Athletics,Gold,22.0,166.0,58.0
M,SWE,1912 Summer,Athletics,Bronze,19.0,181.0,78.0
M,SWE,1912 Summer,Athletics,Silver,19.0,181.0,78.0
M,USA,2000 Summer,Baseball,Gold,22.0,182.0,84.0
F,TUR,2008 Summer,Athletics,Silver,25.0,159.0,40.0
M,BUL,1980 Summer,Wrestling,Gold,29.0,172.0,82.0
M,USA,1932 Summer,Athletics,Gold,19.0,182.0,68.0
M,RUS,2012 Summer,Gymnastics,Bronze,19.0,161.0,62.0
M,RUS,2012 Summer,Gymnastics,Silver,19.0,161.0,62.0
M,RUS,2016 Summer,Gymnastics,Silver,24.0,161.0,62.0
M,RUS,2016 Summer,Gymnastics,Bronze,24.0,161.0,62.0
M,URS,1972 Summer,Swimming,Silver,22.0,190.0,78.0
M,URS,1972 Summer,Swimming,Bronze,22.0,190.0,78.0
M,AUS,2016 Summer,Swimming,Bronze,30.0,197.0,92.0
M,EGY,2012 Summer,Fencing,Silver,21.0,188.0,87.0
M,HUN,1988 Summer,Canoeing,Bronze,21.0,192.0,88.0
